timestamp,event_id,trader,venue,venue_account,symbol,asset,amount
2026-08-01T16:00:00Z,F0023,TRADER_C,OKX,TRADER_C_OKX,SOLUSDT,USDT,-0.60705429
2026-08-01T08:00:00Z,F0006,TRADER_B,BYBIT,TRADER_B_BYBIT,SOLUSDT,USDT,-0.20695358
2026-08-01T16:00:00Z,F0018,TRADER_A,BYBIT,TRADER_A_BYBIT,BTCUSDT,USDT,1.57335750
2026-08-01T16:00:00Z,F0027,TRADER_D,BYBIT,TRADER_D_BYBIT,XRPUSDT,USDT,0.04850806
2026-08-01T08:00:00Z,F0014,TRADER_D,BYBIT,TRADER_D_BYBIT,XRPUSDT,USDT,0.09413134
2026-08-01T08:00:00Z,F0002,TRADER_A,BINANCE,TRADER_A_BINANCE,XRPUSDT,USDT,-0.49083016
2026-08-01T08:00:00Z,F0009,TRADER_C,OKX,TRADER_C_OKX,SOLUSDT,USDT,0.91326345
2026-08-01T08:00:00Z,F0003,TRADER_A,BYBIT,TRADER_A_BYBIT,BTCUSDT,USDT,-3.03520284
2026-08-01T16:00:00Z,F0027,TRADER_D,BYBIT,TRADER_D_BYBIT,XRPUSDT,USDT,0.04850806
2026-08-01T08:00:00Z,F0014,TRADER_D,BYBIT,TRADER_D_BYBIT,XRPUSDT,USDT,0.09413134
2026-08-01T16:00:00Z,F0017,TRADER_A,BINANCE,TRADER_A_BINANCE,XRPUSDT,USDT,0.38398431
2026-08-01T16:00:00Z,F0022,TRADER_C,OKX,TRADER_C_OKX,BTCUSDT,USDT,7.01919675
2026-08-01T08:00:00Z,F0004,TRADER_A,BYBIT,TRADER_A_BYBIT,SOLUSDT,USDT,1.01341652
2026-08-01T08:00:00Z,F0007,TRADER_B,OKX,TRADER_B_OKX,ETHUSDT,USDT,1.61688621
2026-08-01T08:00:00Z,F0008,TRADER_C,OKX,TRADER_C_OKX,BTCUSDT,USDT,-19.53473759
2026-08-01T16:00:00Z,F0020,TRADER_B,BYBIT,TRADER_B_BYBIT,SOLUSDT,USDT,0.09081717
2026-08-01T16:00:00Z,F0024,TRADER_C,OKX,TRADER_C_OKX,XRPUSDT,USDT,-0.29078195
2026-08-01T16:00:00Z,F0023,TRADER_C,OKX,TRADER_C_OKX,SOLUSDT,USDT,-0.60705429
2026-08-01T08:00:00Z,F0011,TRADER_C,BINANCE,TRADER_C_BINANCE,SOLUSDT,USDT,3.19639656
2026-08-01T16:00:00Z,F0026,TRADER_D,BINANCE,TRADER_D_BINANCE,ETHUSDT,USDT,0.39355086
2026-08-01T16:00:00Z,F0021,TRADER_B,OKX,TRADER_B_OKX,ETHUSDT,USDT,0.72985491
2026-08-01T08:00:00Z,F0005,TRADER_B,BYBIT,TRADER_B_BYBIT,ETHUSDT,USDT,5.66683694
2026-08-01T08:00:00Z,F0013,TRADER_D,BINANCE,TRADER_D_BINANCE,XRPUSDT,USDT,-0.61425845
2026-08-01T16:00:00Z,F0025,TRADER_C,BINANCE,TRADER_C_BINANCE,SOLUSDT,USDT,-8.77976506
2026-08-01T08:00:00Z,F0001,TRADER_A,BINANCE,TRADER_A_BINANCE,ETHUSDT,USDT,-0.42093423
2026-08-01T08:00:00Z,F0010,TRADER_C,OKX,TRADER_C_OKX,XRPUSDT,USDT,-0.02729770
2026-08-01T08:00:00Z,F0015,TRADER_D,BYBIT,TRADER_D_BYBIT,BTCUSDT,USDT,3.91109537
2026-08-01T08:00:00Z,F0012,TRADER_D,BINANCE,TRADER_D_BINANCE,ETHUSDT,USDT,2.54989666
2026-08-01T16:00:00Z,F0016,TRADER_A,BINANCE,TRADER_A_BINANCE,BTCUSDT,USDT,-3.58030373
2026-08-01T16:00:00Z,F0019,TRADER_B,BYBIT,TRADER_B_BYBIT,ETHUSDT,USDT,1.61180759
2026-08-01T16:00:00Z,F0028,TRADER_D,BYBIT,TRADER_D_BYBIT,BTCUSDT,USDT,-3.04369621
