timestamp,trader,venue,venue_account,symbol,quantity,avg_entry_price
2026-08-01T00:00:00Z,TRADER_A,BINANCE,TRADER_A_BINANCE,BTCUSDT,0.25,60626.06574239
2026-08-01T00:00:00Z,TRADER_A,BINANCE,TRADER_A_BINANCE,ETHUSDT,2.25,3187.35778659
2026-08-01T00:00:00Z,TRADER_A,BINANCE,TRADER_A_BINANCE,XRPUSDT,-5000,0.63323578
2026-08-01T00:00:00Z,TRADER_A,BYBIT,TRADER_A_BYBIT,SOLUSDT,-35,157.87847904
2026-08-01T00:00:00Z,TRADER_B,BYBIT,TRADER_B_BYBIT,ETHUSDT,-4.75,3167.81648153
2026-08-01T00:00:00Z,TRADER_B,BYBIT,TRADER_B_BYBIT,SOLUSDT,-20,154.53367415
2026-08-01T00:00:00Z,TRADER_B,OKX,TRADER_B_OKX,XRPUSDT,-9000,0.63682024
2026-08-01T00:00:00Z,TRADER_C,OKX,TRADER_C_OKX,BTCUSDT,0.625,61416.03580619
2026-08-01T00:00:00Z,TRADER_C,OKX,TRADER_C_OKX,SOLUSDT,100,154.10707334
2026-08-01T00:00:00Z,TRADER_C,OKX,TRADER_C_OKX,XRPUSDT,5250,0.63073866
2026-08-01T00:00:00Z,TRADER_C,BINANCE,TRADER_C_BINANCE,SOLUSDT,100,156.57745836
2026-08-01T00:00:00Z,TRADER_D,BINANCE,TRADER_D_BINANCE,ETHUSDT,1.25,3164.08581976
2026-08-01T00:00:00Z,TRADER_D,BYBIT,TRADER_D_BYBIT,XRPUSDT,-2000,0.61273850
2026-08-01T00:00:00Z,TRADER_D,BYBIT,TRADER_D_BYBIT,BTCUSDT,-0.375,63419.18184677
